# RatPol2D function : ((Z1-3).^4 + (Z2-3).^3 - (Z2-3))./((Z2-2).^4 + 10) 0<Z1<6   0<Z2<6
SEED= -1
NVAR= 2
MINRAND= -200
MAXRAND= 200
MAX_N_PERIODS= 2000
STEP= .001
NFITCASES= 40
METHOD= 4
DEPTH_MAX= 4
DEPTH_MIN= 2
DEPTH_LIM= 10
p_FULL= .5
REPR_RATE= .2
CROSS_RATE= .4
MUT_RATE= .4
COMP_RATE= .0
NEW_RATE= .0
M= 200
G= 50
BOUNDED= 0
STRAT_STATP= 11
W_STRAT_STATP= 1.0E-9
W_COMPLEXITY= .0
W_N_CORRECTIONS= .0
W_SIZE= .0
W_FACTORISATION= .0
N_GUESSES= 2
CROSSVALIDATION= 0
FOLDS_N= 0
THRESHOLD= 1.0E-5
N_INEQUALITY0= 0
W_PEN_ORD0= 0.000
N_INEQUALITY1= 0
W_PEN_ORD1= 0.0
# add,sub,mult,sdiv,spow
# shift,square,cube,sin,cos,exp,nxp
BINARY_FUN= add,sub,mult,sdiv
UNARY_FUN= square,cube,sin,cos,exp,inv
#
#	Z1			Z2			TARGET
3.076923076923077e-01     3.230769230769231e+00     4.255736929937975e+00
7.692307692307693e-01     4.769230769230769e+00     4.146703737890706e-01
1.230769230769231e+00     1.230769230769231e+00     5.825276546801529e-01
1.846153846153846e+00     2.307692307692308e+00     2.131103384103041e-01
2.307692307692308e+00     3.846153846153846e+00    -4.907788644381379e-04
2.769230769230769e+00     3.076923076923077e-01    -9.240823596849960e-01
3.230769230769231e+00     5.846153846153847e+00     8.832855693653692e-02
3.846153846153846e+00     1.846153846153846e+00     1.302752550538123e-02
4.307692307692308e+00     4.307692307692308e+00     1.004381121019342e-01
4.769230769230769e+00     7.692307692307693e-01     7.545864113502623e-02
5.230769230769231e+00     2.769230769230769e+00     2.413724163593925e+00
5.846153846153847e+00     5.230769230769231e+00     6.262329622353717e-01
0.0			4.000000000000000e+00     3.115384615384615e+00
1.538461538461539e-01     1.692307692307693e+00     6.463311481603270e+00
4.615384615384616e-01     5.384615384615385e+00     3.731300694696141e-01
6.153846153846154e-01     6.153846153846154e-01     1.547277680203591e+00
9.230769230769231e-01     2.153846153846154e+00     1.884649856805752e+00
1.076923076923077e+00     3.384615384615385e+00     9.761358574040025e-01
1.384615384615385e+00     5.692307692307693e+00     1.206574656606887e-01
1.538461538461539e+00     4.461538461538462e+00     1.332235535375127e-01
1.692307692307693e+00     4.615384615384616e-01    -6.982765198267543e-01
2.000000000000000e+00     1.538461538461539e+00    -6.574627229824395e-02
2.153846153846154e+00     3.076923076923077e+00     3.844444581607641e-02
2.461538461538462e+00     6.000000000000000e+00     9.054160031569418e-02
2.615384615384615e+00     4.923076923076923e+00     6.277559890431116e-02
2.923076923076923e+00     1.384615384615385e+00    -2.563115710409863e-01
3.076923076923077e+00     2.923076923076923e+00     7.132458070286513e-03
3.384615384615385e+00     4.153846153846154e+00     1.282398757700504e-02
3.538461538461539e+00     1.538461538461539e-01    -9.310204636969417e-01
3.692307692307693e+00     5.076923076923078e+00     7.138047729660779e-02
4.000000000000000e+00     1.076923076923077e+00    -3.905355382476022e-01
4.153846153846154e+00     2.615384615384615e+00     2.070547382518831e-01
4.461538461538462e+00     3.538461538461539e+00     2.679495522990957e-01
4.615384615384616e+00     5.538461538461538e+00     1.236936460674700e-01
4.923076923076923e+00     0.0			-3.970435747509376e-01
5.076923076923078e+00     2.000000000000000e+00     1.860722663772279e+00
5.384615384615385e+00     4.615384615384616e+00     6.151727616085864e-01
5.538461538461538e+00     9.230769230769231e-01     3.053338312357651e+00
5.692307692307693e+00     3.692307692307693e+00     2.866756048674081e+00
6.000000000000000e+00     2.461538461538462e+00     8.101472259206847e+00
